Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural,age_group,screen_time_hours,sleep_affected
13,Male,4.52,Smartphone,True,0.36,Poor Sleep,Rural,13-17 (Teen),4.52,1
16,Male,2.37,TV,False,0.42,,Rural,13-17 (Teen),2.37,0
11,Male,4.95,Laptop,True,0.4,"Poor Sleep, Anxiety",Urban,8-12 (Pre-teen),4.95,1
10,Female,0.6,TV,False,0.53,,Urban,8-12 (Pre-teen),0.6,0
15,Female,2.77,Smartphone,False,0.35,,Rural,13-17 (Teen),2.77,0
18,Male,2.04,Laptop,False,0.38,,Urban,18-29 (Young Adult),2.04,0
17,Male,6.87,Tablet,True,0.32,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),6.87,1
16,Female,4.13,Smartphone,True,0.34,"Poor Sleep, Eye Strain, Obesity Risk",Rural,13-17 (Teen),4.13,1
18,Male,2.37,TV,False,0.38,,Urban,18-29 (Young Adult),2.37,0
12,Female,5.47,Smartphone,True,0.35,Poor Sleep,Urban,8-12 (Pre-teen),5.47,1
16,Female,7.21,Laptop,True,0.38,Anxiety,Urban,13-17 (Teen),7.21,0
9,Female,9.63,Smartphone,True,0.42,"Poor Sleep, Anxiety",Urban,8-12 (Pre-teen),9.63,1
10,Female,3.23,Smartphone,True,0.51,Anxiety,Urban,8-12 (Pre-teen),3.23,0
14,Male,4.43,Laptop,True,0.45,Poor Sleep,Urban,13-17 (Teen),4.43,1
14,Male,5.53,Smartphone,True,0.42,,Urban,13-17 (Teen),5.53,0
13,Male,2.78,Smartphone,False,0.33,,Urban,13-17 (Teen),2.78,0
13,Female,5.01,Laptop,True,0.45,Anxiety,Urban,13-17 (Teen),5.01,0
9,Female,6.68,Smartphone,True,0.47,,Rural,8-12 (Pre-teen),6.68,0
17,Male,2.64,TV,False,0.4,,Rural,13-17 (Teen),2.64,0
13,Female,3.72,Smartphone,True,0.32,"Poor Sleep, Obesity Risk",Rural,13-17 (Teen),3.72,1
11,Male,7.08,Tablet,True,0.44,"Poor Sleep, Anxiety",Urban,8-12 (Pre-teen),7.08,1
10,Male,2.7,Smartphone,True,0.52,,Rural,8-12 (Pre-teen),2.7,0
18,Male,4.81,Smartphone,True,0.46,"Poor Sleep, Eye Strain, Anxiety",Urban,18-29 (Young Adult),4.81,1
9,Male,6.22,Tablet,True,0.54,"Poor Sleep, Obesity Risk",Rural,8-12 (Pre-teen),6.22,1
8,Male,2.34,Smartphone,True,0.53,,Rural,8-12 (Pre-teen),2.34,0
18,Male,4.18,Smartphone,True,0.35,Poor Sleep,Urban,18-29 (Young Adult),4.18,1
18,Female,2.43,Laptop,False,0.45,,Urban,18-29 (Young Adult),2.43,0
12,Female,4.97,Laptop,True,0.48,Anxiety,Urban,8-12 (Pre-teen),4.97,0
9,Female,0.0,Smartphone,False,0.48,,Urban,8-12 (Pre-teen),0.0,0
9,Female,3.73,Smartphone,True,0.46,Anxiety,Urban,8-12 (Pre-teen),3.73,0
14,Male,5.36,Smartphone,True,0.44,"Poor Sleep, Eye Strain",Rural,13-17 (Teen),5.36,1
15,Male,3.95,TV,True,0.37,"Poor Sleep, Eye Strain, Obesity Risk",Urban,13-17 (Teen),3.95,1
17,Male,5.42,Smartphone,True,0.34,Anxiety,Urban,13-17 (Teen),5.42,0
15,Male,4.68,Laptop,True,0.42,,Urban,13-17 (Teen),4.68,0
11,Male,5.24,TV,True,0.48,Poor Sleep,Rural,8-12 (Pre-teen),5.24,1
8,Male,6.64,TV,True,0.45,Poor Sleep,Urban,8-12 (Pre-teen),6.64,1
18,Male,5.18,TV,True,0.41,Poor Sleep,Urban,18-29 (Young Adult),5.18,1
14,Female,4.52,Smartphone,True,0.47,"Poor Sleep, Eye Strain, Anxiety",Urban,13-17 (Teen),4.52,1
8,Female,3.71,TV,True,0.54,"Poor Sleep, Obesity Risk",Urban,8-12 (Pre-teen),3.71,1
18,Male,5.56,Smartphone,True,0.49,Eye Strain,Rural,18-29 (Young Adult),5.56,0
11,Female,6.02,Smartphone,True,0.34,Poor Sleep,Urban,8-12 (Pre-teen),6.02,1
15,Female,2.46,Smartphone,False,0.47,,Rural,13-17 (Teen),2.46,0
9,Male,3.6,Tablet,True,0.51,Eye Strain,Urban,8-12 (Pre-teen),3.6,0
13,Female,4.88,Smartphone,True,0.5,Poor Sleep,Urban,13-17 (Teen),4.88,1
13,Female,3.31,TV,True,0.45,,Rural,13-17 (Teen),3.31,0
16,Female,4.25,Smartphone,True,0.34,Poor Sleep,Urban,13-17 (Teen),4.25,1
12,Female,3.14,Laptop,True,0.35,"Poor Sleep, Eye Strain",Urban,8-12 (Pre-teen),3.14,1
17,Male,6.8,TV,True,0.47,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),6.8,1
11,Male,5.38,TV,True,0.38,"Poor Sleep, Obesity Risk",Urban,8-12 (Pre-teen),5.38,1
12,Female,4.05,Smartphone,True,0.31,"Poor Sleep, Obesity Risk",Urban,8-12 (Pre-teen),4.05,1
17,Male,5.07,TV,True,0.46,"Anxiety, Obesity Risk",Urban,13-17 (Teen),5.07,0
18,Male,5.32,Tablet,True,0.42,,Urban,18-29 (Young Adult),5.32,0
12,Male,5.33,Smartphone,True,0.44,Poor Sleep,Urban,8-12 (Pre-teen),5.33,1
15,Male,3.03,TV,True,0.49,,Urban,13-17 (Teen),3.03,0
17,Female,5.78,Smartphone,True,0.32,"Poor Sleep, Eye Strain, Anxiety",Urban,13-17 (Teen),5.78,1
15,Male,2.86,Smartphone,False,0.48,,Rural,13-17 (Teen),2.86,0
9,Male,7.45,Tablet,True,0.51,"Poor Sleep, Obesity Risk",Rural,8-12 (Pre-teen),7.45,1
14,Male,4.39,Laptop,True,0.4,"Poor Sleep, Eye Strain",Rural,13-17 (Teen),4.39,1
15,Male,5.88,TV,True,0.48,,Urban,13-17 (Teen),5.88,0
18,Male,4.36,TV,True,0.47,Poor Sleep,Urban,18-29 (Young Adult),4.36,1
13,Female,3.68,Tablet,True,0.44,Poor Sleep,Urban,13-17 (Teen),3.68,1
12,Male,3.24,Tablet,True,0.49,"Eye Strain, Obesity Risk",Urban,8-12 (Pre-teen),3.24,0
18,Male,5.75,Smartphone,True,0.35,"Poor Sleep, Eye Strain, Obesity Risk",Rural,18-29 (Young Adult),5.75,1
16,Male,4.9,Smartphone,True,0.31,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),4.9,1
10,Female,10.99,Tablet,True,0.55,Anxiety,Urban,8-12 (Pre-teen),10.99,0
17,Female,3.92,Smartphone,True,0.42,"Poor Sleep, Eye Strain, Obesity Risk",Urban,13-17 (Teen),3.92,1
11,Female,5.0,Tablet,True,0.38,"Poor Sleep, Eye Strain",Urban,8-12 (Pre-teen),5.0,1
16,Female,4.42,Smartphone,True,0.31,"Poor Sleep, Eye Strain, Anxiety",Urban,13-17 (Teen),4.42,1
13,Female,5.12,Laptop,True,0.38,"Poor Sleep, Eye Strain, Anxiety",Urban,13-17 (Teen),5.12,1
15,Male,4.81,Laptop,True,0.3,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),4.81,1
14,Female,4.91,Laptop,True,0.45,Poor Sleep,Rural,13-17 (Teen),4.91,1
18,Female,2.38,Smartphone,False,0.31,,Urban,18-29 (Young Adult),2.38,0
9,Male,0.87,Smartphone,False,0.49,,Rural,8-12 (Pre-teen),0.87,0
10,Male,4.6,Smartphone,True,0.5,Poor Sleep,Rural,8-12 (Pre-teen),4.6,1
8,Female,0.82,TV,False,0.44,,Urban,8-12 (Pre-teen),0.82,0
16,Male,4.48,Tablet,True,0.43,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),4.48,1
14,Male,4.59,Smartphone,True,0.49,Poor Sleep,Urban,13-17 (Teen),4.59,1
8,Male,5.41,TV,True,0.52,,Rural,8-12 (Pre-teen),5.41,0
10,Female,4.22,Smartphone,True,0.51,Poor Sleep,Urban,8-12 (Pre-teen),4.22,1
11,Male,2.91,Smartphone,False,0.45,,Rural,8-12 (Pre-teen),2.91,0
11,Female,4.87,Smartphone,True,0.35,"Poor Sleep, Eye Strain, Anxiety",Urban,8-12 (Pre-teen),4.87,1
12,Male,4.99,Laptop,True,0.45,,Urban,8-12 (Pre-teen),4.99,0
10,Female,4.35,Smartphone,True,0.49,Poor Sleep,Rural,8-12 (Pre-teen),4.35,1
10,Male,6.29,TV,True,0.46,"Poor Sleep, Obesity Risk",Urban,8-12 (Pre-teen),6.29,1
8,Male,0.22,TV,False,0.53,,Urban,8-12 (Pre-teen),0.22,0
14,Male,4.32,TV,True,0.37,Poor Sleep,Rural,13-17 (Teen),4.32,1
18,Female,4.1,Smartphone,True,0.31,,Rural,18-29 (Young Adult),4.1,0
17,Female,3.3,Smartphone,True,0.45,Anxiety,Urban,13-17 (Teen),3.3,0
8,Male,5.36,Smartphone,True,0.55,Eye Strain,Urban,8-12 (Pre-teen),5.36,0
9,Male,0.2,TV,False,0.54,,Urban,8-12 (Pre-teen),0.2,0
11,Male,4.23,Smartphone,True,0.45,Poor Sleep,Urban,8-12 (Pre-teen),4.23,1
11,Female,2.96,Smartphone,False,0.36,,Urban,8-12 (Pre-teen),2.96,0
12,Female,6.19,Smartphone,True,0.39,"Poor Sleep, Eye Strain",Rural,8-12 (Pre-teen),6.19,1
18,Male,3.67,Smartphone,True,0.3,Eye Strain,Urban,18-29 (Young Adult),3.67,0
9,Female,5.72,TV,True,0.57,Poor Sleep,Rural,8-12 (Pre-teen),5.72,1
11,Female,5.87,Smartphone,True,0.45,,Urban,8-12 (Pre-teen),5.87,0
8,Male,6.15,TV,True,0.5,Poor Sleep,Urban,8-12 (Pre-teen),6.15,1
9,Female,3.64,Smartphone,True,0.56,"Poor Sleep, Obesity Risk",Urban,8-12 (Pre-teen),3.64,1
8,Male,6.65,TV,True,0.5,Eye Strain,Urban,8-12 (Pre-teen),6.65,0
17,Male,4.38,Smartphone,True,0.4,"Poor Sleep, Obesity Risk",Urban,13-17 (Teen),4.38,1
17,Male,3.01,TV,True,0.33,,Rural,13-17 (Teen),3.01,0
11,Male,5.15,Laptop,True,0.36,,Rural,8-12 (Pre-teen),5.15,0
11,Male,4.41,Laptop,True,0.41,Anxiety,Rural,8-12 (Pre-teen),4.41,0
14,Male,4.86,TV,True,0.45,Poor Sleep,Urban,13-17 (Teen),4.86,1
17,Female,3.23,Tablet,True,0.5,Poor Sleep,Urban,13-17 (Teen),3.23,1
18,Female,4.71,Laptop,True,0.33,Poor Sleep,Urban,18-29 (Young Adult),4.71,1
18,Male,3.44,Smartphone,True,0.41,"Poor Sleep, Anxiety",Urban,18-29 (Young Adult),3.44,1
16,Female,4.59,Smartphone,True,0.36,Poor Sleep,Urban,13-17 (Teen),4.59,1
16,Female,2.61,Laptop,False,0.42,,Rural,13-17 (Teen),2.61,0
12,Male,3.25,Smartphone,True,0.36,Obesity Risk,Rural,8-12 (Pre-teen),3.25,0
17,Female,4.54,Smartphone,True,0.39,"Poor Sleep, Anxiety",Urban,13-17 (Teen),4.54,1
8,Female,1.51,Tablet,False,0.44,,Urban,8-12 (Pre-teen),1.51,0
8,Female,9.68,TV,True,0.48,Obesity Risk,Rural,8-12 (Pre-teen),9.68,0
13,Male,5.02,TV,True,0.33,Poor Sleep,Rural,13-17 (Teen),5.02,1
9,Female,3.88,Tablet,True,0.6,Poor Sleep,Urban,8-12 (Pre-teen),3.88,1
15,Male,5.03,TV,True,0.32,Poor Sleep,Urban,13-17 (Teen),5.03,1
16,Male,4.03,Laptop,True,0.36,Poor Sleep,Urban,13-17 (Teen),4.03,1
11,Female,5.31,Smartphone,True,0.33,Poor Sleep,Urban,8-12 (Pre-teen),5.31,1
12,Male,2.31,TV,False,0.31,,Urban,8-12 (Pre-teen),2.31,0
18,Male,3.25,Laptop,True,0.42,,Rural,18-29 (Young Adult),3.25,0
15,Male,5.51,Smartphone,True,0.4,"Eye Strain, Obesity Risk",Urban,13-17 (Teen),5.51,0
10,Female,4.03,TV,True,0.53,,Rural,8-12 (Pre-teen),4.03,0
12,Female,7.12,TV,True,0.31,"Poor Sleep, Eye Strain, Obesity Risk",Urban,8-12 (Pre-teen),7.12,1
10,Male,0.68,Smartphone,False,0.47,,Urban,8-12 (Pre-teen),0.68,0
17,Male,6.01,Smartphone,True,0.47,Eye Strain,Urban,13-17 (Teen),6.01,0
10,Male,0.0,TV,False,0.43,,Urban,8-12 (Pre-teen),0.0,0
10,Female,5.3,TV,True,0.41,Poor Sleep,Urban,8-12 (Pre-teen),5.3,1
14,Male,6.89,Smartphone,True,0.41,"Poor Sleep, Eye Strain, Anxiety",Urban,13-17 (Teen),6.89,1
14,Female,5.1,Smartphone,True,0.4,"Poor Sleep, Obesity Risk",Urban,13-17 (Teen),5.1,1
14,Female,4.54,Tablet,True,0.45,,Urban,13-17 (Teen),4.54,0
17,Male,4.01,Laptop,True,0.3,,Rural,13-17 (Teen),4.01,0
15,Male,7.14,Laptop,True,0.33,,Urban,13-17 (Teen),7.14,0
12,Male,4.6,Laptop,True,0.39,"Poor Sleep, Eye Strain",Rural,8-12 (Pre-teen),4.6,1
12,Male,3.28,Smartphone,True,0.46,Poor Sleep,Urban,8-12 (Pre-teen),3.28,1
11,Male,3.91,Smartphone,True,0.44,Poor Sleep,Urban,8-12 (Pre-teen),3.91,1
14,Female,4.43,Smartphone,True,0.32,Poor Sleep,Rural,13-17 (Teen),4.43,1
17,Male,6.51,Tablet,True,0.39,,Urban,13-17 (Teen),6.51,0
11,Male,4.94,Smartphone,True,0.4,,Urban,8-12 (Pre-teen),4.94,0
9,Male,5.92,TV,True,0.42,"Eye Strain, Obesity Risk",Urban,8-12 (Pre-teen),5.92,0
11,Female,5.71,Tablet,True,0.48,Eye Strain,Rural,8-12 (Pre-teen),5.71,0
15,Male,3.76,TV,True,0.32,"Poor Sleep, Eye Strain",Rural,13-17 (Teen),3.76,1
16,Male,4.26,Smartphone,True,0.34,,Rural,13-17 (Teen),4.26,0
10,Male,5.03,Smartphone,True,0.52,,Urban,8-12 (Pre-teen),5.03,0
14,Male,3.48,Laptop,True,0.35,,Urban,13-17 (Teen),3.48,0
16,Male,4.21,Smartphone,True,0.4,Anxiety,Rural,13-17 (Teen),4.21,0
18,Male,4.63,TV,True,0.4,Poor Sleep,Urban,18-29 (Young Adult),4.63,1
11,Male,3.95,Laptop,True,0.46,"Poor Sleep, Anxiety",Urban,8-12 (Pre-teen),3.95,1
17,Female,4.61,TV,True,0.45,Obesity Risk,Rural,13-17 (Teen),4.61,0
10,Female,5.34,Tablet,True,0.54,,Urban,8-12 (Pre-teen),5.34,0
12,Male,4.93,Smartphone,True,0.47,"Poor Sleep, Eye Strain",Rural,8-12 (Pre-teen),4.93,1
8,Male,1.6,TV,False,0.41,,Urban,8-12 (Pre-teen),1.6,0
10,Male,8.22,TV,True,0.43,Poor Sleep,Urban,8-12 (Pre-teen),8.22,1
15,Female,6.5,TV,True,0.49,"Poor Sleep, Eye Strain",Rural,13-17 (Teen),6.5,1
18,Male,4.3,Smartphone,True,0.34,Anxiety,Urban,18-29 (Young Adult),4.3,0
15,Female,5.93,Tablet,True,0.47,"Poor Sleep, Eye Strain, Anxiety",Urban,13-17 (Teen),5.93,1
11,Male,4.76,Laptop,True,0.33,Eye Strain,Urban,8-12 (Pre-teen),4.76,0
9,Female,5.45,Tablet,True,0.41,,Urban,8-12 (Pre-teen),5.45,0
15,Female,4.9,TV,True,0.42,Eye Strain,Urban,13-17 (Teen),4.9,0
15,Female,3.79,Smartphone,True,0.36,Eye Strain,Urban,13-17 (Teen),3.79,0
17,Male,0.0,Tablet,False,0.41,,Urban,13-17 (Teen),0.0,0
11,Male,4.66,Smartphone,True,0.31,"Poor Sleep, Eye Strain, Anxiety",Urban,8-12 (Pre-teen),4.66,1
10,Female,3.64,Tablet,True,0.41,"Poor Sleep, Eye Strain",Urban,8-12 (Pre-teen),3.64,1
9,Female,2.97,TV,True,0.45,,Urban,8-12 (Pre-teen),2.97,0
16,Female,5.27,TV,True,0.45,,Urban,13-17 (Teen),5.27,0
8,Female,1.34,Smartphone,False,0.42,,Rural,8-12 (Pre-teen),1.34,0
14,Female,4.9,Smartphone,True,0.36,"Poor Sleep, Eye Strain",Rural,13-17 (Teen),4.9,1
12,Female,5.86,Smartphone,True,0.47,"Poor Sleep, Eye Strain",Urban,8-12 (Pre-teen),5.86,1
15,Male,3.88,Smartphone,True,0.31,"Poor Sleep, Anxiety",Rural,13-17 (Teen),3.88,1
11,Male,5.26,Smartphone,True,0.49,Obesity Risk,Urban,8-12 (Pre-teen),5.26,0
14,Male,2.85,Smartphone,False,0.35,,Urban,13-17 (Teen),2.85,0
12,Male,4.84,Smartphone,True,0.37,Poor Sleep,Urban,8-12 (Pre-teen),4.84,1
12,Male,5.34,Smartphone,True,0.44,Poor Sleep,Urban,8-12 (Pre-teen),5.34,1
16,Male,6.14,Laptop,True,0.49,Eye Strain,Urban,13-17 (Teen),6.14,0
16,Female,6.21,TV,True,0.31,Eye Strain,Urban,13-17 (Teen),6.21,0
16,Female,3.71,Smartphone,True,0.49,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),3.71,1
13,Male,5.02,Smartphone,True,0.44,"Poor Sleep, Eye Strain, Obesity Risk",Rural,13-17 (Teen),5.02,1
13,Male,2.52,Laptop,False,0.31,,Urban,13-17 (Teen),2.52,0
12,Female,3.78,TV,True,0.36,Poor Sleep,Rural,8-12 (Pre-teen),3.78,1
16,Female,4.38,Laptop,True,0.44,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),4.38,1
17,Female,2.1,Laptop,False,0.4,,Rural,13-17 (Teen),2.1,0
15,Male,4.1,Smartphone,True,0.41,Obesity Risk,Urban,13-17 (Teen),4.1,0
14,Female,4.98,Smartphone,True,0.42,Poor Sleep,Urban,13-17 (Teen),4.98,1
14,Female,3.38,Laptop,True,0.45,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),3.38,1
13,Female,2.51,Laptop,False,0.48,,Urban,13-17 (Teen),2.51,0
12,Female,4.64,TV,True,0.37,,Rural,8-12 (Pre-teen),4.64,0
11,Male,4.07,Laptop,True,0.47,,Urban,8-12 (Pre-teen),4.07,0
10,Female,1.05,TV,False,0.49,,Urban,8-12 (Pre-teen),1.05,0
10,Female,0.0,Tablet,False,0.47,,Urban,8-12 (Pre-teen),0.0,0
13,Female,3.03,Smartphone,True,0.31,"Poor Sleep, Obesity Risk",Rural,13-17 (Teen),3.03,1
11,Male,1.82,Smartphone,False,0.43,,Urban,8-12 (Pre-teen),1.82,0
13,Female,3.53,Smartphone,True,0.4,,Rural,13-17 (Teen),3.53,0
10,Female,0.0,Smartphone,False,0.55,,Urban,8-12 (Pre-teen),0.0,0
11,Male,4.39,Smartphone,True,0.38,,Rural,8-12 (Pre-teen),4.39,0
16,Male,5.4,TV,True,0.3,,Urban,13-17 (Teen),5.4,0
12,Male,6.42,Laptop,True,0.35,,Urban,8-12 (Pre-teen),6.42,0
14,Female,2.54,Smartphone,False,0.31,,Urban,13-17 (Teen),2.54,0
17,Male,4.23,Smartphone,True,0.43,Eye Strain,Urban,13-17 (Teen),4.23,0
9,Male,3.21,Smartphone,True,0.5,"Poor Sleep, Anxiety",Urban,8-12 (Pre-teen),3.21,1
12,Male,4.55,Smartphone,True,0.46,Anxiety,Rural,8-12 (Pre-teen),4.55,0
16,Female,4.66,TV,True,0.34,Poor Sleep,Urban,13-17 (Teen),4.66,1
18,Male,3.16,Smartphone,True,0.45,"Eye Strain, Obesity Risk",Urban,18-29 (Young Adult),3.16,0
10,Female,4.55,Smartphone,True,0.52,Eye Strain,Urban,8-12 (Pre-teen),4.55,0
16,Male,4.45,Smartphone,True,0.41,Poor Sleep,Urban,13-17 (Teen),4.45,1
18,Female,3.68,Smartphone,True,0.44,Poor Sleep,Urban,18-29 (Young Adult),3.68,1
13,Male,4.44,Smartphone,True,0.44,"Poor Sleep, Obesity Risk",Rural,13-17 (Teen),4.44,1
11,Female,4.53,TV,True,0.46,Poor Sleep,Urban,8-12 (Pre-teen),4.53,1
14,Male,4.4,Laptop,True,0.44,,Urban,13-17 (Teen),4.4,0
15,Male,5.17,Laptop,True,0.32,Eye Strain,Urban,13-17 (Teen),5.17,0
13,Male,4.81,Tablet,True,0.45,,Urban,13-17 (Teen),4.81,0
12,Female,4.01,Smartphone,True,0.44,"Poor Sleep, Anxiety, Obesity Risk",Rural,8-12 (Pre-teen),4.01,1
13,Male,5.45,Smartphone,True,0.39,,Rural,13-17 (Teen),5.45,0
12,Male,5.66,Smartphone,True,0.38,Poor Sleep,Urban,8-12 (Pre-teen),5.66,1
15,Male,5.85,Laptop,True,0.38,,Rural,13-17 (Teen),5.85,0
8,Male,5.72,TV,True,0.41,"Eye Strain, Anxiety",Rural,8-12 (Pre-teen),5.72,0
18,Male,4.49,Smartphone,True,0.44,"Poor Sleep, Anxiety, Obesity Risk",Urban,18-29 (Young Adult),4.49,1
14,Female,4.68,TV,True,0.38,,Urban,13-17 (Teen),4.68,0
17,Female,4.55,Smartphone,True,0.3,Poor Sleep,Rural,13-17 (Teen),4.55,1
17,Male,6.6,Smartphone,True,0.47,Poor Sleep,Urban,13-17 (Teen),6.6,1
18,Male,4.86,Smartphone,True,0.42,Poor Sleep,Rural,18-29 (Young Adult),4.86,1
9,Male,2.52,TV,True,0.45,,Urban,8-12 (Pre-teen),2.52,0
16,Male,4.13,Smartphone,True,0.39,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),4.13,1
8,Female,1.17,Smartphone,False,0.54,,Urban,8-12 (Pre-teen),1.17,0
18,Female,2.87,Smartphone,False,0.36,,Rural,18-29 (Young Adult),2.87,0
17,Male,4.62,Smartphone,True,0.44,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),4.62,1
13,Male,5.15,Smartphone,True,0.31,,Urban,13-17 (Teen),5.15,0
16,Female,3.98,Smartphone,True,0.46,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),3.98,1
8,Male,5.12,Smartphone,True,0.47,Poor Sleep,Urban,8-12 (Pre-teen),5.12,1
11,Female,4.51,Smartphone,True,0.35,Poor Sleep,Urban,8-12 (Pre-teen),4.51,1
11,Male,4.11,Smartphone,True,0.31,Poor Sleep,Urban,8-12 (Pre-teen),4.11,1
16,Male,4.08,Smartphone,True,0.37,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),4.08,1
18,Male,5.56,Tablet,True,0.4,Poor Sleep,Rural,18-29 (Young Adult),5.56,1
12,Female,3.24,Smartphone,True,0.32,Poor Sleep,Urban,8-12 (Pre-teen),3.24,1
12,Male,5.59,TV,True,0.33,Obesity Risk,Urban,8-12 (Pre-teen),5.59,0
13,Female,5.93,Smartphone,True,0.31,Poor Sleep,Rural,13-17 (Teen),5.93,1
8,Male,4.18,Smartphone,True,0.57,Poor Sleep,Urban,8-12 (Pre-teen),4.18,1
8,Female,5.72,Smartphone,True,0.41,"Poor Sleep, Eye Strain, Anxiety",Urban,8-12 (Pre-teen),5.72,1
16,Female,3.91,Laptop,True,0.42,,Urban,13-17 (Teen),3.91,0
10,Female,2.93,Smartphone,True,0.41,,Urban,8-12 (Pre-teen),2.93,0
11,Male,3.26,TV,True,0.39,"Poor Sleep, Eye Strain",Rural,8-12 (Pre-teen),3.26,1
8,Female,6.14,Smartphone,True,0.4,Poor Sleep,Urban,8-12 (Pre-teen),6.14,1
16,Female,3.6,Smartphone,True,0.33,"Poor Sleep, Eye Strain, Obesity Risk",Urban,13-17 (Teen),3.6,1
15,Female,3.78,Smartphone,True,0.49,"Poor Sleep, Eye Strain",Rural,13-17 (Teen),3.78,1
9,Female,2.75,TV,True,0.49,,Urban,8-12 (Pre-teen),2.75,0
15,Male,3.1,Smartphone,True,0.3,Eye Strain,Rural,13-17 (Teen),3.1,0
14,Male,5.16,TV,True,0.48,Poor Sleep,Rural,13-17 (Teen),5.16,1
18,Female,2.46,Tablet,False,0.31,,Urban,18-29 (Young Adult),2.46,0
13,Female,4.52,Smartphone,True,0.4,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),4.52,1
8,Male,8.06,TV,True,0.44,,Rural,8-12 (Pre-teen),8.06,0
14,Male,3.3,Smartphone,True,0.37,,Rural,13-17 (Teen),3.3,0
17,Female,4.11,Smartphone,True,0.47,"Poor Sleep, Eye Strain, Anxiety",Urban,13-17 (Teen),4.11,1
14,Female,6.09,Laptop,True,0.34,Poor Sleep,Urban,13-17 (Teen),6.09,1
16,Male,6.07,Smartphone,True,0.48,"Poor Sleep, Eye Strain, Anxiety, Obesity Risk",Urban,13-17 (Teen),6.07,1
8,Male,1.48,Tablet,False,0.56,,Rural,8-12 (Pre-teen),1.48,0
9,Male,2.12,TV,True,0.59,,Rural,8-12 (Pre-teen),2.12,0
18,Female,6.97,Smartphone,True,0.38,Poor Sleep,Urban,18-29 (Young Adult),6.97,1
16,Female,5.24,Smartphone,True,0.37,"Poor Sleep, Eye Strain",Rural,13-17 (Teen),5.24,1
16,Male,3.13,TV,True,0.33,"Poor Sleep, Eye Strain",Urban,13-17 (Teen),3.13,1
13,Male,2.04,Smartphone,False,0.49,,Rural,13-17 (Teen),2.04,0
13,Female,3.66,TV,True,0.35,Eye Strain,Rural,13-17 (Teen),3.66,0
11,Male,5.8,TV,True,0.5,"Poor Sleep, Anxiety",Urban,8-12 (Pre-teen),5.8,1
11,Male,4.38,TV,True,0.37,"Poor Sleep, Eye Strain, Anxiety",Urban,8-12 (Pre-teen),4.38,1
12,Female,6.47,Smartphone,True,0.35,"Poor Sleep, Eye Strain",Rural,8-12 (Pre-teen),6.47,1
10,Female,3.27,Tablet,True,0.59,Anxiety,Urban,8-12 (Pre-teen),3.27,0
8,Female,3.22,Tablet,True,0.54,"Eye Strain, Obesity Risk",Urban,8-12 (Pre-teen),3.22,0
8,Male,2.31,Smartphone,True,0.45,,Rural,8-12 (Pre-teen),2.31,0
14,Female,4.76,TV,True,0.35,Poor Sleep,Urban,13-17 (Teen),4.76,1
8,Male,0.43,TV,False,0.41,,Urban,8-12 (Pre-teen),0.43,0
8,Male,2.39,TV,True,0.45,,Urban,8-12 (Pre-teen),2.39,0
10,Male,2.28,Tablet,True,0.51,,Urban,8-12 (Pre-teen),2.28,0
17,Male,4.19,Smartphone,True,0.5,"Poor Sleep, Eye Strain, Obesity Risk",Rural,13-17 (Teen),4.19,1
11,Female,3.07,Laptop,True,0.33,Poor Sleep,Rural,8-12 (Pre-teen),3.07,1
11,Male,6.31,Smartphone,True,0.4,,Rural,8-12 (Pre-teen),6.31,0
9,Male,8.91,TV,True,0.43,Obesity Risk,Urban,8-12 (Pre-teen),8.91,0
8,Female,1.51,Tablet,False,0.41,,Urban,8-12 (Pre-teen),1.51,0
10,Male,4.59,TV,True,0.47,Poor Sleep,Urban,8-12 (Pre-teen),4.59,1
18,Male,5.39,Tablet,True,0.48,,Urban,18-29 (Young Adult),5.39,0
11,Male,5.22,Smartphone,True,0.38,Obesity Risk,Rural,8-12 (Pre-teen),5.22,0
10,Male,1.86,Smartphone,False,0.53,,Rural,8-12 (Pre-teen),1.86,0
15,Female,2.2,Laptop,False,0.34,,Urban,13-17 (Teen),2.2,0
17,Male,3.36,Smartphone,True,0.38,"Poor Sleep, Anxiety",Urban,13-17 (Teen),3.36,1
8,Male,6.8,Tablet,True,0.54,"Poor Sleep, Obesity Risk",Rural,8-12 (Pre-teen),6.8,1
9,Male,0.14,Tablet,False,0.59,,Urban,8-12 (Pre-teen),0.14,0
14,Female,3.68,Laptop,True,0.43,"Poor Sleep, Anxiety, Obesity Risk",Rural,13-17 (Teen),3.68,1
